Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
هافال H7 2026,"1,660,000 ج.م.",هافال,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
فيات 500X 2026,"955,000 ج.م.",فيات,جديدة,أوتوماتيك,,Blue,SUV,Gas,1400.0
فولكس فاجن تيجوان 2026,"2,390,000 ج.م.",فولكس فاجن,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1400.0
زيكر 7X 2025,"2,450,000 ج.م.",زيكر,جديدة,أوتوماتيك,,Black,SUV,Electric,
هيونداى فيرنا 2018,"420,000 ج.م.",هيونداى,مستعملة,مانيوال,"161,000 كم",Gray,Sedan,Gas,1600.0
أودي A5 2025,"3,775,000 ج.م.",أودي,جديدة,أوتوماتيك,,Black,Sedan,Gas,2000.0
مرسيدس C200 2025,"3,850,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
سكودا كاروك 2026,"1,930,000 ج.م.",سكودا,جديدة,أوتوماتيك,,White,SUV,Gas,1400.0
فيات تيبو 2022,"870,000 ج.م.",فيات,مستعملة,أوتوماتيك,"70,000 كم",Gray,Sedan,Gas,1600.0
سكودا اوكتافيا 2021,"1,200,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"84,000 كم",Blue,Sedan,Gas,1400.0
إم جي 5 2026,"890,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
شيري تيجو 7 2021,"750,000 ج.م.",شيري,مستعملة,أوتوماتيك,"109,000 كم",Silver,SUV,Gas,1500.0
أودي Q8 2025,"7,000,000 ج.م.",أودي,جديدة,أوتوماتيك,,Gray,SUV,Gas,3000.0
مرسيدس GT43 2025,"9,850,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"5,000 كم",Blue,Coupe,Gas,2000.0
بي ام دبليو 320i 2024,"2,800,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"15,000 كم",White,Sedan,Gas,1600.0
مرسيدس C180 2025,"3,600,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Gas,1600.0
هيونداى أكسنت RB 2026,"730,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Bronze,Sedan,Gas,1600.0
هيونداى النترا AD 2026,"900,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Maroon,Sedan,Gas,1600.0
لاند روفر رانج روفر 2022,"8,500,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,"20,000 كم",Black,SUV,Gas,5000.0
مرسيدس C180 2025,"3,650,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
نيسان سنترا 2026,"990,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Black,Sedan,Gas,1600.0
إم جي RX5 Plus 2026,"1,550,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
إم جي One 2026,"1,340,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1500.0
أودي Q7 2025,"5,000,000 ج.م.",أودي,جديدة,أوتوماتيك,,Black,SUV,Gas,2000.0
أوبل كورسا 2026,"1,150,000 ج.م.",أوبل,جديدة,أوتوماتيك,,Red,Sedan,Gas,1200.0
مرسيدس GLC 300 2026,"5,450,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,SUV,Gas,2000.0
تويوتا لاند كروزر 2025,"9,550,000 ج.م.",تويوتا,جديدة,أوتوماتيك,,White,SUV,Gas,3500.0
بي ام دبليو 218i 2020,"1,550,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"56,000 كم",Gray,,Gas,1500.0
أفاتر 07 2025,"2,050,000 ج.م.",أفاتر,جديدة,أوتوماتيك,,Silver,SUV,Electric,
لاند روفر ديسكوفرى سبورت 2021,"5,100,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,"76,000 كم",Black,SUV,Gas,2000.0
أوبل أسترا 2000,"265,000 ج.م.",أوبل,مستعملة,مانيوال,"300,000 كم",Green,Sedan,Gas,1200.0
كيا بيكانتو 2015,"520,000 ج.م.",كيا,مستعملة,أوتوماتيك,"100,000 كم",Red,Hatchback,Gas,1300.0
نصر 128 1988,"45,000 ج.م.",نصر,مستعملة,مانيوال,"886,898 كم",White,Sedan,Gas,1100.0
أودي A5 2025,"4,400,000 ج.م.",أودي,جديدة,أوتوماتيك,,Dark Grey,Sedan,Gas,2000.0
مرسيدس GLC 200 2025,"5,100,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,SUV,Gas,2000.0
أوبل فيكترا 2007,"395,000 ج.م.",أوبل,مستعملة,مانيوال,"173,500 كم",Black,Sedan,Gas,1600.0
مرسيدس C180 2024,"2,750,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"15,000 كم",White,Sedan,Gas,1500.0
شيفروليه الدبابة TFR 2026,"1,100,000 ج.م.",شيفروليه,جديدة,مانيوال,,Red,Pickup,Diesel,2500.0
نيسان قشقاي 2013,"650,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"78,000 كم",Black,SUV,Gas,1400.0
نيسان قشقاي 2022,"970,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"45,000 كم",Silver,SUV,Gas,1600.0
أودي A5 2025,"3,350,000 ج.م.",أودي,جديدة,أوتوماتيك,,Silver,Sedan,Gas,2000.0
أودي RS Q8 2022,"8,200,000 ج.م.",أودي,مستعملة,أوتوماتيك,"45,000 كم",Gray,SUV,Gas,4000.0
إم جي 7 2026,"1,525,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Green,Sedan,Gas,1500.0
إم جي ZS 2026,"1,090,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
بيجو 3008 2026,"2,200,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Gray,SUV,Gas,1600.0
إم جي ZS 2026,"950,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,SUV,Gas,1500.0
بيجو 5008 2026,"2,125,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Gray,SUV,Gas,1600.0
بيجو 408 2025,"1,790,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Red,Hatchback,Gas,1600.0
بيجو 408 2026,"2,150,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Red,SUV,Gas,1600.0
بيجو 3008 2026,"2,200,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Black,SUV,Gas,1600.0
بيجو 408 2026,"2,150,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Red,Sedan,Gas,1600.0
أوبل انسيجنيا 2017,"860,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"105,000 كم",,,,
هيونداى سوناتا 2010,"440,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"192,300 كم",Black,Sedan,Gas,1600.0
رينو داستر 2026,"1,315,000 ج.م.",رينو,جديدة,أوتوماتيك,,Green,SUV,Gas,1300.0
بورش ماكان 2024,"4,200,000 ج.م.",بورش,جديدة,أوتوماتيك,,White,SUV,Gas,3000.0
جيب رينجيد 2020,"1,425,000 ج.م.",جيب,مستعملة,أوتوماتيك,"75,000 كم",Gray,SUV,Gas,1400.0
رينو سانديرو ستيب واي 2017,"600,000 ج.م.",رينو,مستعملة,أوتوماتيك,"90,000 كم",Black,SUV,Gas,1600.0
ساوايست S 06 2026,"1,385,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Gray,SUV,Gas,1600.0
تويوتا كورولا 2022,"1,080,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"50,000 كم",Black,Sedan,Gas,1600.0
ساوايست S 06 2026,"1,385,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Gray,SUV,Gas,1600.0
نيسان قشقاي 2026,"1,660,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Green,SUV,Gas,1300.0
تويوتا كورولا 2019,"875,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"145,000 كم",Black,Sedan,Gas,1600.0
هيونداى اكسل 1994,"150,000 ج.م.",هيونداى,مستعملة,مانيوال,"152,000 كم",Maroon,Sedan,Gas,1300.0
سكودا اوكتافيا 2022,"1,320,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"120,000 كم",Black,Sedan,Gas,1400.0
فيات بونتو 2017,"520,000 ج.م.",فيات,مستعملة,أوتوماتيك,"140,000 كم",Black,Hatchback,Gas,1400.0
فولفو S60 2018,"1,100,000 ج.م.",فولفو,مستعملة,أوتوماتيك,"167,000 كم",Black,Sedan,Gas,1600.0
شانجان CS35 PLUS 2024,"1,050,000 ج.م.",شانجان,مستعملة,أوتوماتيك,"18,000 كم",Maroon,SUV,Gas,1400.0
فولكس فاجن جيتا 2006,"530,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"272,000 كم",Blue,Sedan,Gas,1600.0
سيات تاراكو 2021,"1,350,000 ج.م.",سيات,مستعملة,أوتوماتيك,"82,000 كم",Silver,SUV,Gas,1400.0
شيفروليه ماليبو 2021,"1,300,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"68,000 كم",Maroon,Sedan,Gas,1500.0
ستروين C5 اير كروس 2021,"1,250,000 ج.م.",ستروين,مستعملة,أوتوماتيك,"126,500 كم",Silver,Hatchback,Gas,1600.0
مرسيدس E300 2024,"5,100,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Hybrid,2000.0
ميتسوبيشي كولت 1998,"245,000 ج.م.",ميتسوبيشي,مستعملة,مانيوال,"299,000 كم",Red,Coupe,Gas,1500.0
رينو تويزي 2019,"420,000 ج.م.",رينو,مستعملة,أوتوماتيك,"12,000 كم",Blue,,Electric,
إم جي 5 2026,"890,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
ميني كوبر 2021,"1,250,000 ج.م.",ميني,مستعملة,أوتوماتيك,"128,000 كم",Gray,Hatchback,Gas,1500.0
شيفروليه افيو 2008,"285,000 ج.م.",شيفروليه,مستعملة,مانيوال,"285,183 كم",Baby Blue,Sedan,Gas,1500.0
رينج روفر ايفوك 2026,"4,000,000 ج.م.",رينج روفر,جديدة,أوتوماتيك,,Gray,SUV,Hybrid,2000.0
بي ام دبليو 318i 2016,"1,300,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"124,000 كم",Black,Sedan,Gas,1400.0
بي ام دبليو iX 2022,"4,250,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"30,000 كم",Gray,SUV,Electric,
نيسان قشقاي 2018,"790,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"130,000 كم",Blue,SUV,Gas,1200.0
سكودا كودياك 2026,"2,450,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Black,SUV,Gas,1400.0
رينو ميجان 2020,"690,000 ج.م.",رينو,مستعملة,أوتوماتيك,"90,000 كم",Maroon,Sedan,Gas,1600.0
لاند روفر رانج روفر ايفوك 2023,"3,500,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,"37,000 كم",Black,SUV,Gas,2000.0
شيفروليه لانوس 2017,"335,000 ج.م.",شيفروليه,مستعملة,مانيوال,"159,000 كم",Dark Grey,Sedan,Gas,1500.0
مرسيدس CLA 180 2014,"1,100,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"200,000 كم",Red,Sedan,Gas,1600.0
بيجو 307 2007,"550,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"36,000 كم",Black,Hatchback,Gas,1600.0
سكودا كودياك 2026,"3,100,000 ج.م.",سكودا,جديدة,أوتوماتيك,,White,SUV,Gas,1400.0
سكودا سوبيرب 2026,"2,950,000 ج.م.",سكودا,جديدة,أوتوماتيك,,White,Sedan,Gas,2000.0
سكودا كودياك 2025,"2,250,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gold,SUV,Gas,1400.0
أودي A5 2026,"3,850,000 ج.م.",أودي,جديدة,أوتوماتيك,,Silver,Sedan,Gas,2000.0
سكودا كاروك 2025,"1,800,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1400.0
فيات ماريا 2001,"280,000 ج.م.",فيات,مستعملة,مانيوال,"25,000 كم",Silver,Station,Gas,1600.0
رينو لوجان 2010,"260,000 ج.م.",رينو,مستعملة,مانيوال,"319,000 كم",Black,Sedan,Gas,1600.0
بيجو RCZ 2012,"900,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"190,000 كم",White,Coupe,Gas,1600.0
مرسيدس GLC 300 2020,"3,500,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"120,000 كم",Black,Coupe,Gas,2000.0
جيتور X95 2022,"1,200,000 ج.م.",جيتور,مستعملة,أوتوماتيك,"76,000 كم",Black,SUV,Gas,1600.0
بي ام دبليو X1 2024,"3,150,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,500 كم,Gray,SUV,Gas,1600.0
تويوتا راش 2020,"900,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"95,000 كم",Black,SUV,Gas,1500.0
بي ام دبليو X3 2013,"1,000,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"280,000 كم",Black,SUV,Gas,2000.0
مرسيدس C200 2022,"3,150,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"80,000 كم",Black,Sedan,Gas,1600.0
هيونداى فيرنا 2010,"300,000 ج.م.",هيونداى,مستعملة,مانيوال,200 كم,Maroon,Sedan,Gas,1600.0
هيونداى النترا MD 2012,"650,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"173,000 كم",Silver,Sedan,Gas,1600.0
كيا K8 2023,"2,300,000 ج.م.",كيا,مستعملة,أوتوماتيك,"20,000 كم",White,Sedan,Gas,1600.0
مرسيدس CLA 180 2022,"2,100,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"39,000 كم",White,Coupe,Gas,1300.0
دايو لانوس 1997,"240,000 ج.م.",دايو,مستعملة,مانيوال,"317,000 كم",Maroon,Sedan,Gas,1500.0
بيجو 5008 2019,"970,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"275,000 كم",Green,SUV,Gas,1600.0
نيسان قشقاي 2016,"690,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"97,000 كم",Brown,SUV,Gas,1300.0
كيا بيكانتو 2008,"388,000 ج.م.",كيا,مستعملة,أوتوماتيك,"137,000 كم",Gray,Hatchback,Gas,1100.0
رينو داستر 2021,"850,000 ج.م.",رينو,مستعملة,أوتوماتيك,"24,000 كم",Gray,SUV,Gas,1600.0
مرسيدس E200 2026,"5,340,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Gas,2000.0
مرسيدس CLA 200 2023,"3,000,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Sedan,Gas,1400.0
كيا K3 2024,"1,235,000 ج.م.",كيا,جديدة,أوتوماتيك,,White,Sedan,Gas,1600.0
بي واى دى سيجال 2025,"799,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Black,Hatchback,Electric,
بي واى دى سيجال 2025,"880,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Baby Blue,Hatchback,Electric,
شيفروليه اوبترا 2026,"750,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Red,Sedan,Gas,1500.0
أفاتر 12 2025,"3,250,000 ج.م.",أفاتر,جديدة,أوتوماتيك,,Purple,Sedan,Electric,
مرسيدس C180 2024,"2,700,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"7,000 كم",Red,Sedan,Gas,1500.0
بي ام دبليو 320i 2026,"3,475,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1600.0
مرسيدس SLC 180 2018,"3,350,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"5,000 كم",Silver,Cabriolet,Gas,1600.0
سكودا سوبيرب 2024,"2,450,000 ج.م.",سكودا,مستعملة,أوتوماتيك,200 كم,,,,
ميني John Cooper Works 2025,"2,600,000 ج.م.",ميني,مستعملة,أوتوماتيك,"10,000 كم",Black,SUV,Gas,2000.0
مرسيدس E200 2006,"850,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"156,000 كم",Black,Sedan,Gas,2000.0
مرسيدس GLE 450 2023,"5,700,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"5,000 كم",Black,SUV,Gas,3000.0
فولكس فاجن باسات فاريانت 2009,"660,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"230,000 كم",Gray,Station,Gas,1600.0
سكودا كودياك 2025,"2,700,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,SUV,Gas,1400.0
فولكس فاجن تيجوان 2024,"1,975,000 ج.م.",فولكس فاجن,جديدة,أوتوماتيك,,Red,SUV,Gas,1500.0
سكودا اوكتافيا 2026,"1,850,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Dark Grey,Sedan,Gas,1400.0
شيري تيجو 3 2022,"650,000 ج.م.",شيري,مستعملة,أوتوماتيك,"83,835 كم",Navy Blue,Hatchback,Natural Gas,1600.0
رينو تاليانت 2026,"735,000 ج.م.",رينو,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1000.0
بي ام دبليو X3 2014,"1,300,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"123,000 كم",Black,SUV,Gas,1600.0
شيفروليه الدبابة TFR 2026,"970,000 ج.م.",شيفروليه,جديدة,مانيوال,,White,Pickup,Diesel,2500.0
بروتون ساجا 2026,"635,000 ج.م.",بروتون,جديدة,أوتوماتيك,,Black,Sedan,Gas,1300.0
شيفروليه اوبترا 2026,"740,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
كايي X7 2026,"1,425,000 ج.م.",كايي,جديدة,أوتوماتيك,,White,SUV,Gas,1600.0
شيفروليه اوبترا 2026,"750,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Red,Sedan,Gas,1500.0
هيونداى ماتريكس 2008,"375,000 ج.م.",هيونداى,مستعملة,مانيوال,"157,000 كم",Black,SUV,Gas,1600.0
أوبل أسترا 2017,"700,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"180,000 كم",Silver,Sedan,Gas,1400.0
أودي A3 2010,"650,000 ج.م.",أودي,مستعملة,أوتوماتيك,"160,000 كم",White,Coupe,Gas,2000.0
سيات ارونا 2021,"1,080,000 ج.م.",سيات,مستعملة,أوتوماتيك,"110,000 كم",Silver,SUV,Diesel,1600.0
مرسيدس C200 2025,"3,950,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"1,000 كم",,,,
فولكس فاجن باسات 2015,"700,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"319,000 كم",Beige,Sedan,Gas,1400.0
بي واى دى يوان آب 2025,"1,150,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Silver,SUV,Electric,
بي واى دى سونج بلس 2025,"1,575,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Champagne,SUV,Electric,
سوزوكي ديزاير 2026,"815,000 ج.م.",سوزوكي,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
لادا جرانتا 2022,"475,000 ج.م.",لادا,مستعملة,أوتوماتيك,"50,000 كم",Blue,Sedan,Gas,1600.0
بيجو 3008 2025,"1,650,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Silver,SUV,Gas,1600.0
ميتسوبيشي اكسباندر 2025,"1,280,000 ج.م.",ميتسوبيشي,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
مرسيدس C200 2023,"3,550,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"16,000 كم",Black,Cabriolet,Gas,1500.0
ساوايست S 06 2026,"1,384,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Beige,SUV,Gas,1600.0
سوزوكي إسبريسو 2026,"635,000 ج.م.",سوزوكي,جديدة,أوتوماتيك,,Orange,Hatchback,Gas,1000.0
سوزوكي سويفت 2026,"795,000 ج.م.",سوزوكي,جديدة,أوتوماتيك,,Red,Hatchback,Gas,1200.0
فولكس فاجن باراتى 2006,"245,000 ج.م.",فولكس فاجن,مستعملة,مانيوال,"129,000 كم",Red,Hatchback,Gas,1600.0
ساوايست S 09 2026,"1,650,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Black,SUV,Gas,1600.0
نيسان بلوبيرد 2011,"510,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"100,000 كم",Bronze,Sedan,Gas,1600.0
فيات 128 نوفا 1991,"67,000 ج.م.",فيات,مستعملة,مانيوال,"97,000 كم",Red,Sedan,Gas,1300.0
بي ام دبليو X7 2023,"8,200,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,300 كم,Black,SUV,Gas,4400.0
سوزوكي بالينو 2025,"900,000 ج.م.",سوزوكي,جديدة,أوتوماتيك,,Red,SUV,Gas,1500.0
ميني كوبر 2024,"1,790,000 ج.م.",ميني,مستعملة,أوتوماتيك,"21,000 كم",Blue,Hatchback,Gas,1500.0
شيري تيجو 7 2026,"1,010,000 ج.م.",شيري,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
دودج رام 2008,"1,300,000 ج.م.",دودج,مستعملة,أوتوماتيك,"400,000 كم",Red,Pickup,Gas,5700.0
نيسان صني 2026,"780,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
مرسيدس S63 2025,"2,900,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Hybrid,4000.0
رينو داستر 2026,"1,320,000 ج.م.",رينو,جديدة,أوتوماتيك,,Green,SUV,Gas,1300.0
بي ام دبليو X1 2025,"2,800,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
بيجو 5008 2021,"1,170,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"91,000 كم",Gray,SUV,Gas,1600.0
رينو أوسترال 2026,"1,740,000 ج.م.",رينو,جديدة,أوتوماتيك,,Blue,SUV,Gas,1300.0
مرسيدس E200 2015,"1,650,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"130,000 كم",Champagne,Sedan,Gas,1800.0
إم جي 5 2026,"890,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
رينج روفر ايفوك 2024,"3,750,000 ج.م.",رينج روفر,مستعملة,أوتوماتيك,"5,000 كم",Gray,SUV,Gas,1500.0
بي ام دبليو X1 2026,"3,350,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Champagne,SUV,Gas,1500.0
رينو فلوانس 2014,"530,000 ج.م.",رينو,مستعملة,أوتوماتيك,"185,000 كم",Beige,Sedan,Gas,1600.0
أودي Q3 2026,"2,725,000 ج.م.",أودي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1400.0
كي جي إم أكتيون 2025,"2,300,000 ج.م.",كي جي إم,جديدة,أوتوماتيك,,Gold,SUV,Gas,1500.0
أودي Q8 2025,"6,900,000 ج.م.",أودي,جديدة,أوتوماتيك,,Black,SUV,Gas,3000.0
مرسيدس E200 2019,"3,500,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"31,831 كم",Black,Sedan,Gas,2000.0
جيب شيروكى 2012,"750,000 ج.م.",جيب,مستعملة,أوتوماتيك,"250,000 كم",Beige,,Gas,3700.0
بي ام دبليو 520i 2019,"2,000,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"80,000 كم",White,Sedan,Gas,1600.0
إم جي ZS 2026,"1,080,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Silver,SUV,Gas,1500.0
هيونداى I30 2026,"1,100,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1200.0
هيونداى سولاريس 2016,"470,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"200,000 كم",Blue,Sedan,Gas,1400.0
دودج رام 2021,"3,500,000 ج.م.",دودج,مستعملة,أوتوماتيك,"70,000 كم",Black,Pickup,Gas,5700.0
سكودا سوبيرب 2026,"2,900,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,Sedan,Gas,2000.0
أوبل أسترا 2008,"300,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"185,000 كم",Black,Hatchback,Gas,1600.0
بي ام دبليو X3 2016,"1,450,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"200,000 كم",Navy Blue,SUV,Gas,2000.0
سكودا كودياك 2025,"2,200,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"19,000 كم",Black,SUV,Gas,1400.0
سكودا كاروك 2026,"1,900,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,SUV,Gas,1400.0
رينو لوجان 2018,"430,000 ج.م.",رينو,مستعملة,أوتوماتيك,"214,000 كم",Brown,Sedan,Gas,1600.0
سكودا اوكتافيا 2026,"1,800,000 ج.م.",سكودا,جديدة,مانيوال,,Gray,Sedan,Gas,1400.0
مرسيدس CLA 200 2024,"2,700,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Sedan,Gas,1300.0
نيسان صني 2026,"850,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1600.0
مرسيدس C180 2023,"2,550,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"30,000 كم",Black,Sedan,Gas,1500.0
هامر هامر EV 2025,"5,000,000 ج.م.",هامر,جديدة,أوتوماتيك,,Baby Blue,SUV,Electric,
سكودا كودياك 2025,"2,550,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
بي ام دبليو 530i 2018,"2,550,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"75,000 كم",White,Sedan,Gas,2000.0
مرسيدس GLC 300 COUPE 2024,"4,850,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,12 كم,Black,SUV,Gas,2000.0
إم جي 7 2026,"1,730,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,Sedan,Gas,1500.0
شيري اريزو 8 2026,"1,350,000 ج.م.",شيري,جديدة,أوتوماتيك,,White,Sedan,Gas,1600.0
بيجو 5008 2026,"2,500,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Silver,SUV,Gas,1600.0
شانجان CS55 بلس 2026,"1,080,000 ج.م.",شانجان,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1500.0
سيات ليون 2026,"1,475,000 ج.م.",سيات,جديدة,أوتوماتيك,,Blue,Hatchback,Gas,1400.0
نيسان قشقاي 2026,"1,770,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Black,SUV,Gas,1300.0
سيات ليون 2026,"1,485,000 ج.م.",سيات,جديدة,أوتوماتيك,,Navy Blue,Hatchback,Gas,1400.0
نيسان جوك 2026,"1,225,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Blue,Hatchback,Gas,1000.0
تويوتا كورولا 2026,"1,450,000 ج.م.",تويوتا,جديدة,أوتوماتيك,,Dark Grey,Sedan,Gas,1600.0
شيري تيجو 4 برو 2026,"980,000 ج.م.",شيري,جديدة,أوتوماتيك,,Maroon,SUV,Gas,1500.0
أودي A3 2025,"2,300,000 ج.م.",أودي,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1400.0
بيجو 3008 2026,"2,250,000 ج.م.",بيجو,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1600.0
سيات ليون 2026,"1,500,000 ج.م.",سيات,جديدة,أوتوماتيك,,Dark Grey,Hatchback,Gas,1400.0
فيات 500X 2026,"955,000 ج.م.",فيات,جديدة,أوتوماتيك,,Blue,Hatchback,Gas,1400.0
