Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
بايك U5 Plus 2025,"845,000 ج.م.",بايك,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
أودي A3 2024,"2,000,000 ج.م.",أودي,مستعملة,أوتوماتيك,"22,000 كم",Gray,Sedan,Gas,1400.0
تويوتا كورولا 2025,"1,450,000 ج.م.",تويوتا,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1600.0
سكودا كودياك 2023,"2,850,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"10,000 كم",Silver,SUV,Gas,2000.0
فيات 500X 2024,"900,000 ج.م.",فيات,جديدة,أوتوماتيك,,Blue,Hatchback,Gas,1400.0
كيا سبورتاج 2022,"1,750,000 ج.م.",كيا,مستعملة,أوتوماتيك,"19,000 كم",Maroon,SUV,Gas,1600.0
بي ام دبليو 320i 2024,"2,900,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"28,000 كم",White,Sedan,Gas,1600.0
أودي A4 2023,"2,200,000 ج.م.",أودي,مستعملة,أوتوماتيك,"78,000 كم",Gray,Sedan,Gas,2000.0
كايي X7 2026,"1,395,000 ج.م.",كايي,جديدة,أوتوماتيك,,Black,SUV,Gas,1600.0
شيفروليه اوبترا 2026,"715,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
ساوايست S 09 2026,"1,500,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Gray,SUV,Gas,1600.0
أودي Q3 2025,"2,650,000 ج.م.",أودي,مستعملة,أوتوماتيك,"6,000 كم",Black,Hatchback,Gas,1400.0
جيتور داشينج 2024,"1,130,000 ج.م.",جيتور,مستعملة,أوتوماتيك,"17,000 كم",Gray,SUV,Gas,1500.0
رينج روفر فيلار 2020,"2,950,000 ج.م.",رينج روفر,مستعملة,أوتوماتيك,"127,000 كم",Gray,SUV,Gas,2000.0
مرسيدس GLA 200 2017,"1,350,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"198,000 كم",Silver,SUV,Gas,1600.0
ميتسوبيشي اكسباندر 2026,"1,370,000 ج.م.",ميتسوبيشي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1500.0
بي ام دبليو X6 2017,"2,700,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"118,000 كم",Navy Blue,SUV,Gas,4400.0
هامر هامر EV 2024,"7,400,000 ج.م.",هامر,مستعملة,أوتوماتيك,"4,000 كم",Black,SUV,Electric,
سكودا اوكتافيا A8 2022,"1,350,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"100,000 كم",Gray,Sedan,Gas,1400.0
بي ام دبليو 316i 2010,"700,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"211,000 كم",Silver,Sedan,Gas,1600.0
ستروين C3 2009,"290,000 ج.م.",ستروين,مستعملة,أوتوماتيك,"174,000 كم",Silver,Hatchback,Gas,1600.0
إم جي HS 2022,"1,250,000 ج.م.",إم جي,مستعملة,أوتوماتيك,"39,000 كم",White,SUV,Gas,1500.0
كيا سيراتو 2017,"750,000 ج.م.",كيا,مستعملة,أوتوماتيك,"250,000 كم",Navy Blue,Sedan,Gas,1600.0
مرسيدس C180 2003,"520,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,281 كم,Silver,Sedan,Gas,1800.0
نيسان قشقاي 2017,"740,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"141,000 كم",Black,SUV,Gas,1200.0
مازدا 3 2013,"450,000 ج.م.",مازدا,مستعملة,أوتوماتيك,"357,000 كم",Gray,Sedan,Gas,1600.0
جاك S4 2021,"650,000 ج.م.",جاك,مستعملة,أوتوماتيك,"144,000 كم",White,SUV,Gas,1500.0
جيب رانجلر 2016,"1,650,000 ج.م.",جيب,مستعملة,أوتوماتيك,"140,000 كم",Gray,SUV,Gas,3600.0
إم جي RX5 2025,"1,350,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
فيات 500X 2021,"900,000 ج.م.",فيات,مستعملة,أوتوماتيك,"15,000 كم",Red,SUV,Gas,1400.0
جاكوار F-PACE 2024,"4,400,000 ج.م.",جاكوار,مستعملة,أوتوماتيك,"8,000 كم",White,SUV,Gas,2000.0
هيونداى النترا CN7 2024,"1,275,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"7,000 كم",,,,
رينو كليو 2005,"190,000 ج.م.",رينو,مستعملة,أوتوماتيك,"186,000 كم",Silver,Sedan,Gas,1600.0
مرسيدس C200 2022,"2,850,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"16,000 كم",Blue,Sedan,Hybrid,1600.0
أوبل أسترا 2021,"715,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"140,000 كم",Black,Sedan,Gas,1400.0
نيسان صني 2023,"650,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"77,000 كم",Bronze,Sedan,Gas,1600.0
رينو ميجان 2021,"690,000 ج.م.",رينو,مستعملة,أوتوماتيك,"96,000 كم",Silver,Coupe,Gas,1600.0
أودي Q3 2022,"2,150,000 ج.م.",أودي,مستعملة,أوتوماتيك,"42,560 كم",Blue,SUV,Gas,1400.0
